interest_technology,interest_social,interest_design,interest_health,interest_business,interest_data,creativity,logical_reasoning,communication,empathy,leadership,numerical_skill,visual_thinking,organization,practical_learning,theoretical_learning,teamwork_preference,autonomy_preference,work_environment,preferred_modality,academic_area_label
4,3,3,2,2,4,2,5,1,1,3,3,2,4,4,4,1,5,mixto,mixta,ingenieria-de-software
5,2,2,2,2,4,2,5,2,2,1,4,2,5,4,5,3,5,oficina,mixta,ingenieria-de-software
5,2,2,2,2,4,3,5,2,2,3,4,2,4,4,4,3,5,oficina,virtual,ingenieria-de-software
5,2,2,2,3,4,2,5,1,1,2,4,3,4,3,4,2,5,mixto,mixta,ingenieria-de-software
5,2,2,3,2,5,2,5,1,1,3,5,3,4,5,3,2,5,oficina,virtual,ingenieria-de-software
5,2,3,2,2,4,2,5,1,2,3,4,3,5,4,4,3,5,mixto,mixta,ingenieria-de-software
5,4,2,2,3,3,2,5,2,2,3,4,3,4,4,4,2,5,oficina,virtual,ingenieria-de-software
5,2,2,1,2,5,2,5,2,4,2,5,1,4,4,3,1,5,oficina,mixta,ingenieria-de-software
5,2,3,3,2,3,2,5,2,2,2,4,1,3,4,4,3,4,oficina,mixta,ingenieria-de-software
5,3,2,2,2,3,3,5,1,2,1,4,2,5,4,4,1,5,mixto,mixta,ingenieria-de-software
5,2,2,1,2,5,3,4,2,2,3,4,2,5,3,3,2,5,oficina,mixta,ingenieria-de-software
5,2,3,2,2,5,3,4,2,3,2,4,3,4,3,4,3,5,oficina,virtual,ingenieria-de-software
5,1,1,3,1,4,2,5,2,1,2,4,2,4,4,4,2,5,oficina,virtual,ingenieria-de-software
5,2,3,2,2,4,2,5,2,2,2,3,1,5,3,4,1,5,oficina,virtual,ingenieria-de-software
5,2,2,3,1,4,2,5,3,2,2,4,1,5,4,4,3,4,mixto,virtual,ingenieria-de-software
5,2,1,2,2,4,2,5,1,2,2,5,3,4,4,4,2,5,oficina,mixta,ingenieria-de-software
4,2,2,3,3,5,3,5,3,2,2,4,2,3,3,5,3,4,oficina,virtual,ingenieria-de-software
5,1,2,1,2,4,2,4,2,2,2,4,2,5,5,4,2,5,mixto,virtual,ingenieria-de-software
5,2,2,2,1,3,2,4,1,1,2,4,2,5,3,5,2,5,oficina,virtual,ingenieria-de-software
5,2,3,2,1,5,2,5,2,2,2,4,2,4,3,4,3,5,mixto,virtual,ingenieria-de-software
5,2,1,2,1,4,3,5,1,2,2,2,3,4,4,4,3,5,mixto,virtual,ingenieria-de-software
5,3,3,2,2,3,3,5,3,2,1,4,3,3,3,5,2,4,oficina,virtual,ingenieria-de-software
5,2,3,1,2,4,2,4,2,2,1,4,2,3,4,4,2,5,oficina,mixta,ingenieria-de-software
5,2,3,2,2,4,2,5,3,1,2,4,2,4,3,4,1,5,mixto,mixta,ingenieria-de-software
3,3,2,3,3,4,1,4,3,1,2,4,2,5,4,5,3,5,mixto,mixta,ingenieria-de-software
5,2,3,2,4,5,2,5,3,1,1,4,2,3,4,4,2,5,oficina,mixta,ingenieria-de-software
5,2,2,2,3,4,2,5,3,2,2,4,2,4,3,4,2,5,mixto,virtual,ingenieria-de-software
5,1,2,1,1,4,2,5,2,2,3,4,1,4,3,3,2,3,mixto,virtual,ingenieria-de-software
4,1,2,2,2,5,4,5,2,2,1,5,1,4,4,4,3,5,oficina,virtual,ingenieria-de-software
4,2,2,1,3,3,2,5,1,3,2,3,2,5,3,4,3,5,mixto,virtual,ingenieria-de-software
5,2,3,3,2,4,2,5,1,2,2,5,2,3,4,4,2,5,mixto,mixta,ingenieria-de-software
5,3,3,2,2,3,2,5,3,3,2,3,2,4,4,3,3,5,oficina,virtual,ingenieria-de-software
4,3,2,3,2,5,1,5,2,2,3,4,2,5,4,4,2,5,mixto,mixta,ingenieria-de-software
5,3,2,2,3,5,2,5,2,2,3,5,3,4,3,5,4,4,mixto,virtual,ingenieria-de-software
4,2,2,3,5,4,2,5,1,2,2,2,3,3,4,4,3,5,mixto,mixta,ingenieria-de-software
5,1,1,3,2,4,2,4,2,3,3,4,3,4,5,4,1,5,mixto,mixta,ingenieria-de-software
5,2,2,2,3,5,2,5,2,2,2,4,1,3,3,4,3,5,oficina,mixta,ingenieria-de-software
5,1,2,2,2,4,2,5,2,1,2,4,3,4,3,3,3,5,mixto,mixta,ingenieria-de-software
5,3,2,1,2,3,3,5,2,2,2,5,2,4,4,3,3,5,oficina,mixta,ingenieria-de-software
5,2,2,2,2,4,2,5,2,2,2,5,2,4,4,4,3,5,oficina,mixta,ingenieria-de-software
5,2,2,2,2,4,1,5,2,2,2,4,3,4,4,5,2,4,mixto,virtual,ingenieria-de-software
5,3,2,2,3,4,2,4,2,1,3,4,3,5,3,4,1,5,oficina,virtual,ingenieria-de-software
5,3,2,1,3,3,3,5,3,1,3,5,4,4,3,4,2,4,oficina,mixta,ingenieria-de-software
5,1,2,2,3,4,2,5,2,3,4,3,2,4,4,4,2,5,oficina,virtual,ingenieria-de-software
5,2,3,1,2,4,2,5,2,2,3,3,3,5,4,5,1,5,oficina,mixta,ingenieria-de-software
5,1,3,2,3,4,2,5,2,2,3,4,3,5,5,4,2,5,oficina,virtual,ingenieria-de-software
5,3,1,3,2,4,3,5,2,1,3,4,3,4,3,4,2,5,oficina,mixta,ingenieria-de-software
5,3,2,1,2,5,2,5,2,3,2,5,2,4,4,4,2,4,mixto,virtual,ingenieria-de-software
5,2,2,3,4,4,3,5,2,2,1,5,2,3,3,4,2,5,mixto,virtual,ingenieria-de-software
5,2,3,2,2,3,2,5,2,3,2,5,2,5,3,4,3,5,oficina,virtual,ingenieria-de-software
5,2,3,3,2,3,3,5,2,3,3,3,2,3,3,4,2,4,oficina,virtual,ingenieria-de-software
5,2,2,1,2,4,3,5,3,1,2,5,2,4,4,5,2,4,mixto,mixta,ingenieria-de-software
4,4,2,2,2,4,2,5,2,2,2,4,3,5,4,5,3,5,mixto,mixta,ingenieria-de-software
4,2,3,3,2,3,3,5,2,1,2,4,2,4,4,4,1,5,oficina,mixta,ingenieria-de-software
5,2,2,3,2,3,3,5,2,3,2,4,2,4,3,4,2,5,oficina,mixta,ingenieria-de-software
5,2,3,1,1,5,2,5,2,2,2,5,2,5,4,3,3,5,mixto,mixta,ingenieria-de-software
4,3,2,2,1,3,2,4,2,3,2,5,3,4,4,3,2,4,oficina,mixta,ingenieria-de-software
5,2,2,3,2,3,3,4,2,2,3,3,2,4,3,4,2,5,mixto,virtual,ingenieria-de-software
5,2,2,3,3,4,2,5,2,2,2,5,3,5,4,4,2,5,oficina,mixta,ingenieria-de-software
4,3,3,2,2,4,2,4,1,2,2,5,3,3,3,4,1,5,oficina,virtual,ingenieria-de-software
4,2,3,3,3,5,1,5,3,2,3,4,2,3,5,4,3,5,mixto,virtual,ingenieria-de-software
5,3,1,3,2,4,2,5,3,3,2,4,2,3,4,4,2,5,mixto,virtual,ingenieria-de-software
5,4,1,1,3,4,2,4,2,2,1,4,1,4,5,4,2,4,mixto,virtual,ingenieria-de-software
4,2,3,1,2,4,3,5,2,1,3,5,1,5,5,3,2,5,oficina,virtual,ingenieria-de-software
4,3,2,1,2,5,2,5,1,2,2,4,2,3,4,4,2,5,oficina,mixta,ingenieria-de-software
4,2,1,2,1,5,1,5,1,2,3,4,1,4,2,3,1,5,mixto,mixta,ingenieria-de-software
5,2,2,2,2,5,2,5,2,3,3,5,3,3,5,3,2,5,oficina,virtual,ingenieria-de-software
5,2,2,3,4,4,2,5,1,3,3,4,2,5,5,5,3,4,oficina,virtual,ingenieria-de-software
4,3,2,2,2,4,2,5,2,2,2,3,2,4,3,4,1,5,mixto,mixta,ingenieria-de-software
4,2,2,2,2,4,1,4,2,2,3,4,2,4,3,4,1,5,oficina,virtual,ingenieria-de-software
5,2,2,3,2,4,2,5,2,3,3,4,1,3,4,4,2,5,oficina,mixta,ingenieria-de-software
5,2,3,3,2,4,3,5,1,2,3,3,2,4,5,5,2,4,mixto,mixta,ingenieria-de-software
4,3,2,1,1,5,1,3,1,3,4,4,2,4,4,5,2,5,mixto,mixta,ingenieria-de-software
5,2,2,2,2,5,2,5,3,2,2,4,2,4,4,4,1,4,oficina,virtual,ingenieria-de-software
5,2,3,4,3,3,3,4,1,2,2,4,1,3,4,4,3,5,mixto,virtual,ingenieria-de-software
3,2,2,1,2,4,1,4,1,3,2,5,2,5,3,3,2,4,oficina,virtual,ciencia-de-datos
3,2,2,2,2,4,1,4,2,2,2,5,2,5,3,4,1,3,oficina,mixta,ciencia-de-datos
5,2,2,3,1,5,2,4,1,1,2,5,2,4,3,3,2,4,laboratorio,virtual,ciencia-de-datos
5,2,2,4,2,5,1,4,2,2,3,5,2,4,3,4,2,5,laboratorio,virtual,ciencia-de-datos
4,2,2,2,4,4,3,3,1,4,2,5,2,3,3,3,3,4,laboratorio,virtual,ciencia-de-datos
4,2,2,3,3,4,2,3,1,1,4,4,2,4,3,5,2,4,laboratorio,virtual,ciencia-de-datos
4,3,3,2,2,5,2,5,1,4,3,4,3,5,2,4,3,4,laboratorio,virtual,ciencia-de-datos
4,2,3,2,2,4,2,4,3,2,2,4,2,4,3,3,2,4,laboratorio,mixta,ciencia-de-datos
4,1,2,1,3,5,3,4,3,2,3,5,2,4,3,4,1,4,laboratorio,virtual,ciencia-de-datos
5,2,1,2,1,5,1,3,2,2,3,4,2,4,4,4,2,5,laboratorio,mixta,ciencia-de-datos
5,2,2,2,1,5,2,4,1,1,2,5,1,5,4,4,1,3,laboratorio,mixta,ciencia-de-datos
5,3,2,3,2,5,3,4,2,3,2,5,2,4,4,5,1,5,laboratorio,virtual,ciencia-de-datos
4,3,3,3,3,5,2,5,2,2,2,5,3,4,3,4,2,3,laboratorio,virtual,ciencia-de-datos
4,2,2,2,3,5,1,5,2,1,3,5,3,4,3,4,1,4,laboratorio,mixta,ciencia-de-datos
4,3,3,1,1,4,4,3,4,2,3,5,3,5,4,4,3,4,oficina,mixta,ciencia-de-datos
4,2,3,2,3,5,3,5,1,3,2,4,2,4,3,4,3,5,laboratorio,virtual,ciencia-de-datos
3,2,1,2,3,5,4,4,2,1,2,4,1,5,2,3,3,4,laboratorio,virtual,ciencia-de-datos
5,3,3,1,3,4,3,5,2,3,1,5,3,4,3,4,1,3,laboratorio,virtual,ciencia-de-datos
4,2,2,2,2,5,2,3,1,3,3,5,3,3,2,4,2,4,laboratorio,mixta,ciencia-de-datos
3,2,1,2,1,5,2,4,2,3,2,4,2,4,4,4,2,4,oficina,mixta,ciencia-de-datos
4,2,2,2,3,5,2,4,1,2,3,4,2,4,3,4,2,4,oficina,mixta,ciencia-de-datos
4,3,2,1,3,5,1,4,2,3,2,5,1,3,4,4,3,3,oficina,virtual,ciencia-de-datos
4,2,2,3,3,5,2,4,2,1,2,5,2,4,2,4,3,3,oficina,virtual,ciencia-de-datos
4,3,3,2,3,5,3,3,2,2,2,5,3,3,2,3,2,4,laboratorio,mixta,ciencia-de-datos
4,3,2,2,3,5,3,4,1,3,4,5,1,5,4,5,3,4,laboratorio,virtual,ciencia-de-datos
4,2,2,2,2,5,3,5,3,3,3,5,2,4,3,5,1,4,laboratorio,virtual,ciencia-de-datos
4,3,2,3,1,5,3,4,2,2,3,5,2,4,2,4,2,4,oficina,virtual,ciencia-de-datos
4,3,4,2,1,5,2,4,1,3,3,4,4,4,3,5,1,3,laboratorio,virtual,ciencia-de-datos
4,2,2,1,2,5,3,4,1,2,4,4,2,4,3,5,1,4,oficina,virtual,ciencia-de-datos
4,1,2,1,2,4,2,3,2,3,2,5,2,4,2,5,1,4,oficina,mixta,ciencia-de-datos
3,3,2,4,2,4,2,4,3,1,1,4,3,4,3,4,2,5,laboratorio,virtual,ciencia-de-datos
4,2,2,2,4,5,2,3,2,3,3,5,3,3,3,4,3,4,oficina,virtual,ciencia-de-datos
4,2,2,3,1,5,2,5,2,2,2,5,2,4,3,4,1,5,laboratorio,virtual,ciencia-de-datos
4,1,3,2,1,4,2,4,2,2,2,5,1,4,3,3,2,4,laboratorio,virtual,ciencia-de-datos
4,1,2,3,2,3,3,4,3,2,3,4,3,4,3,4,2,5,oficina,mixta,ciencia-de-datos
4,2,3,3,2,5,3,5,1,2,2,5,2,4,4,2,2,4,laboratorio,mixta,ciencia-de-datos
3,3,2,3,3,5,2,4,2,3,2,5,3,5,3,4,2,3,oficina,mixta,ciencia-de-datos
5,2,3,2,2,5,2,4,2,2,2,5,3,5,3,4,2,4,oficina,mixta,ciencia-de-datos
5,3,2,3,1,5,2,5,3,3,2,4,1,3,3,3,2,3,oficina,mixta,ciencia-de-datos
3,3,2,2,2,5,2,4,2,2,2,5,1,5,3,5,3,4,laboratorio,mixta,ciencia-de-datos
4,2,2,2,3,5,2,3,2,2,2,4,2,4,4,2,2,4,oficina,virtual,ciencia-de-datos
3,1,2,2,2,5,3,3,3,3,2,4,2,4,3,4,2,4,oficina,mixta,ciencia-de-datos
4,2,2,2,2,5,2,4,3,2,2,5,3,4,3,4,2,3,oficina,mixta,ciencia-de-datos
5,2,2,2,2,5,3,3,2,3,2,5,2,4,3,4,2,4,laboratorio,mixta,ciencia-de-datos
4,3,3,2,3,5,2,3,1,2,2,5,3,3,3,5,2,5,laboratorio,virtual,ciencia-de-datos
4,2,2,2,2,5,1,3,3,2,2,5,3,4,2,4,3,4,laboratorio,virtual,ciencia-de-datos
4,1,2,2,3,5,3,5,2,2,2,5,2,4,2,3,2,4,oficina,virtual,ciencia-de-datos
4,3,3,2,2,5,2,3,1,3,1,5,2,4,3,4,3,3,laboratorio,virtual,ciencia-de-datos
5,2,2,3,3,5,3,5,3,1,3,5,1,5,3,3,2,4,laboratorio,virtual,ciencia-de-datos
3,2,1,1,3,5,2,4,2,3,3,5,2,5,3,4,1,3,oficina,mixta,ciencia-de-datos
4,2,2,3,2,5,3,5,1,2,3,5,2,4,4,4,2,4,oficina,virtual,ciencia-de-datos
4,3,2,1,2,5,2,3,1,3,2,4,2,4,3,4,2,3,oficina,virtual,ciencia-de-datos
4,2,4,3,2,5,1,3,3,2,2,5,3,3,3,5,1,4,oficina,mixta,ciencia-de-datos
4,3,2,2,1,4,2,4,1,3,2,4,3,4,2,5,3,5,oficina,virtual,ciencia-de-datos
4,2,2,3,1,4,2,4,3,2,2,5,3,4,3,4,2,4,oficina,virtual,ciencia-de-datos
2,2,2,3,2,5,3,4,2,3,2,5,2,5,3,4,1,4,laboratorio,mixta,ciencia-de-datos
4,2,1,1,2,5,3,5,1,2,2,5,3,3,1,4,2,4,laboratorio,mixta,ciencia-de-datos
4,2,3,1,2,5,3,4,2,2,3,5,2,5,4,4,1,4,oficina,mixta,ciencia-de-datos
3,2,3,2,2,5,2,5,2,2,1,5,2,4,2,4,1,5,oficina,virtual,ciencia-de-datos
4,2,2,2,3,5,1,4,3,2,2,4,3,4,3,5,2,5,oficina,virtual,ciencia-de-datos
5,2,2,2,2,5,2,5,2,3,3,5,2,4,3,3,1,4,oficina,mixta,ciencia-de-datos
4,2,3,3,2,5,2,4,2,1,3,5,3,3,3,4,3,3,laboratorio,virtual,ciencia-de-datos
3,2,2,3,2,5,2,4,1,3,2,5,3,5,4,4,2,4,oficina,mixta,ciencia-de-datos
3,2,2,3,2,5,2,4,2,3,2,4,2,4,3,5,3,3,oficina,virtual,ciencia-de-datos
4,4,3,2,2,5,3,4,1,4,2,5,3,4,3,4,1,4,laboratorio,virtual,ciencia-de-datos
4,2,3,3,3,4,2,4,2,3,3,5,2,3,3,4,2,3,oficina,mixta,ciencia-de-datos
4,2,2,2,2,5,2,5,2,2,1,5,3,4,3,3,2,3,oficina,virtual,ciencia-de-datos
5,2,2,1,2,5,2,4,2,2,4,5,3,5,3,3,2,4,oficina,virtual,ciencia-de-datos
4,2,2,2,2,5,2,4,2,2,2,5,2,4,2,3,2,4,laboratorio,virtual,ciencia-de-datos
4,3,3,2,3,5,2,4,2,3,3,5,2,3,3,3,1,3,oficina,virtual,ciencia-de-datos
4,2,2,1,2,5,1,4,2,2,1,4,1,4,4,4,3,4,laboratorio,mixta,ciencia-de-datos
4,2,3,1,1,5,3,3,1,2,2,5,3,3,3,5,3,5,oficina,mixta,ciencia-de-datos
4,1,2,3,2,5,2,4,1,3,3,5,1,4,3,3,2,2,laboratorio,mixta,ciencia-de-datos
4,1,1,2,3,5,3,4,2,2,2,4,1,4,3,3,1,4,oficina,mixta,ciencia-de-datos
3,3,2,2,3,5,3,4,3,3,2,5,1,3,2,4,2,3,oficina,virtual,ciencia-de-datos
4,2,3,2,3,4,3,4,3,1,2,5,2,4,3,3,1,3,oficina,virtual,ciencia-de-datos
3,2,3,2,1,5,3,5,2,2,2,4,1,4,2,4,2,4,oficina,mixta,ciencia-de-datos
4,2,2,3,2,4,3,5,2,3,3,4,2,3,4,3,3,4,laboratorio,virtual,ciencia-de-datos
4,2,1,3,2,5,1,4,2,1,1,5,2,5,3,3,3,3,oficina,mixta,ciencia-de-datos
4,2,3,3,3,5,2,5,2,3,2,5,3,4,3,4,2,5,oficina,mixta,ciencia-de-datos
4,2,2,3,2,5,2,3,3,2,3,5,3,4,2,3,2,5,laboratorio,mixta,ciencia-de-datos
5,3,3,2,3,5,2,4,2,2,2,4,2,4,3,4,2,4,oficina,mixta,ciencia-de-datos
5,2,2,4,2,5,3,5,1,2,2,5,1,4,4,3,1,3,oficina,mixta,ciencia-de-datos
4,2,2,2,1,5,2,4,3,1,3,5,1,4,2,4,2,5,oficina,virtual,ciencia-de-datos
4,2,1,1,2,4,1,4,2,3,2,4,3,3,2,4,2,4,oficina,mixta,ciencia-de-datos
5,2,2,2,2,5,2,4,2,4,1,5,2,4,2,4,2,5,oficina,mixta,ciencia-de-datos
5,2,1,2,2,5,3,3,2,3,3,5,2,4,2,3,2,4,laboratorio,mixta,ciencia-de-datos
5,1,4,2,3,4,2,4,2,2,1,5,2,4,4,4,2,5,laboratorio,mixta,ciencia-de-datos
3,2,3,3,2,5,1,4,2,1,2,5,2,5,3,3,3,3,oficina,mixta,ciencia-de-datos
4,3,2,2,2,5,2,3,2,1,3,5,2,4,3,3,3,3,oficina,mixta,ciencia-de-datos
5,3,3,2,2,5,2,4,2,2,2,5,2,3,2,5,4,4,laboratorio,virtual,ciencia-de-datos
5,3,2,1,3,5,2,3,2,1,3,5,2,5,2,4,1,3,oficina,virtual,ciencia-de-datos
4,2,2,2,2,5,3,4,1,2,1,5,2,5,4,5,3,5,oficina,mixta,ciencia-de-datos
4,2,2,1,3,5,3,5,2,2,2,4,2,5,5,4,2,4,oficina,virtual,ciencia-de-datos
5,1,2,2,1,5,1,4,2,2,2,5,2,4,3,3,2,4,laboratorio,virtual,ciencia-de-datos
4,1,2,3,2,5,3,4,2,2,2,4,3,4,5,4,2,4,oficina,mixta,ciencia-de-datos
5,2,2,2,3,5,2,3,1,2,2,5,2,4,3,4,1,3,laboratorio,virtual,ciencia-de-datos
5,1,3,2,2,5,2,4,2,1,2,5,1,4,2,2,1,4,laboratorio,virtual,ciencia-de-datos
5,1,2,2,3,5,2,3,1,4,1,5,3,4,3,4,1,4,laboratorio,virtual,ciencia-de-datos
5,3,3,2,1,4,4,3,2,2,3,5,2,4,3,5,3,3,oficina,mixta,ciencia-de-datos
4,4,3,2,2,5,2,4,2,1,2,5,3,3,4,4,2,3,laboratorio,mixta,ciencia-de-datos
4,2,2,3,1,5,3,4,2,1,2,5,2,4,4,4,3,4,laboratorio,mixta,ciencia-de-datos
4,2,2,2,2,5,2,4,2,1,3,5,2,4,2,4,2,5,oficina,mixta,ciencia-de-datos
3,3,1,2,2,5,1,5,3,2,2,5,3,3,3,3,2,4,oficina,mixta,ciencia-de-datos
5,2,3,1,3,5,2,4,1,2,3,5,2,3,2,3,3,4,oficina,mixta,ciencia-de-datos
3,2,2,2,2,5,2,4,2,2,2,5,2,5,3,4,2,4,laboratorio,mixta,ciencia-de-datos
4,2,2,3,2,5,2,4,3,2,3,5,2,3,3,4,3,3,oficina,virtual,ciencia-de-datos
5,3,1,3,2,5,2,4,2,3,2,5,2,5,3,4,2,3,oficina,virtual,ciencia-de-datos
4,2,2,4,2,5,2,3,2,2,2,5,3,4,3,5,2,4,laboratorio,mixta,ciencia-de-datos
5,3,2,3,3,4,2,4,1,1,2,5,2,4,2,3,3,4,laboratorio,virtual,ciencia-de-datos
4,2,2,2,3,5,2,3,2,3,2,5,1,5,4,4,1,4,laboratorio,mixta,ciencia-de-datos
4,2,2,3,3,5,3,3,2,3,2,5,1,4,3,4,2,4,oficina,mixta,ciencia-de-datos
4,2,2,2,1,5,2,3,2,2,1,5,2,5,3,3,2,4,oficina,mixta,ciencia-de-datos
4,3,1,3,3,4,1,4,2,2,2,4,2,4,3,3,2,5,laboratorio,virtual,ciencia-de-datos
4,1,3,3,2,4,2,5,2,2,2,4,3,3,4,4,3,4,laboratorio,mixta,ciencia-de-datos
3,2,2,2,1,4,3,4,1,3,2,5,2,4,3,4,3,4,laboratorio,mixta,ciencia-de-datos
5,3,2,2,2,5,2,4,2,2,3,3,3,5,2,4,3,3,oficina,mixta,ciencia-de-datos
4,2,3,4,3,5,2,4,3,2,2,5,3,4,3,3,1,4,oficina,virtual,ciencia-de-datos
3,3,2,3,3,5,2,4,2,4,3,5,2,5,3,3,2,5,oficina,mixta,ciencia-de-datos
4,1,2,2,2,5,2,4,1,2,3,5,2,5,3,4,3,5,oficina,mixta,ciencia-de-datos
4,2,2,2,1,5,2,4,3,2,2,5,2,4,2,3,2,4,oficina,mixta,ciencia-de-datos
4,3,2,4,2,5,2,4,3,4,2,5,2,5,3,3,1,4,oficina,mixta,ciencia-de-datos
4,2,2,1,2,5,2,3,1,2,3,5,2,4,3,5,4,3,laboratorio,virtual,ciencia-de-datos
4,2,1,1,3,5,2,5,2,2,2,5,2,3,4,5,3,3,oficina,mixta,ciencia-de-datos
4,2,2,1,2,5,2,4,3,2,3,5,3,4,4,3,2,4,laboratorio,mixta,ciencia-de-datos
4,3,2,2,3,5,3,4,3,2,1,5,3,4,2,3,2,5,oficina,virtual,ciencia-de-datos
4,2,2,1,2,4,3,5,3,3,2,4,2,4,2,5,2,4,laboratorio,mixta,ciencia-de-datos
5,3,2,3,2,5,2,4,2,2,1,5,2,4,3,4,2,5,oficina,virtual,ciencia-de-datos
5,2,2,2,1,4,3,5,2,2,2,5,2,4,2,5,1,4,oficina,mixta,ciencia-de-datos
4,2,3,3,2,5,2,4,2,2,2,5,2,4,2,3,3,4,laboratorio,mixta,ciencia-de-datos
3,1,2,3,2,5,2,3,2,3,2,5,1,4,4,4,1,3,laboratorio,virtual,ciencia-de-datos
4,2,2,1,3,5,1,4,2,2,2,4,2,4,4,4,2,4,laboratorio,mixta,ciencia-de-datos
4,1,2,1,1,5,2,4,2,1,2,5,3,4,3,5,2,5,laboratorio,virtual,ciencia-de-datos
4,3,3,2,3,5,3,4,2,2,3,5,2,3,3,4,1,5,laboratorio,virtual,ciencia-de-datos
4,1,2,3,2,4,3,3,1,3,2,4,1,5,3,4,3,5,laboratorio,virtual,ciencia-de-datos
4,2,2,2,2,5,2,4,3,3,2,5,2,4,2,5,1,4,laboratorio,mixta,ciencia-de-datos
4,2,2,3,1,5,2,4,2,3,3,4,3,4,3,4,2,5,oficina,virtual,ciencia-de-datos
4,3,2,3,3,5,3,3,3,1,2,5,3,4,3,4,3,4,oficina,mixta,ciencia-de-datos
4,3,2,3,1,5,3,5,2,3,1,5,2,4,3,5,2,4,laboratorio,virtual,ciencia-de-datos
5,2,2,2,2,5,3,4,1,2,3,5,2,4,3,4,2,5,laboratorio,virtual,ciencia-de-datos
4,2,2,1,1,5,3,5,2,2,2,5,2,5,4,5,1,4,laboratorio,mixta,ciencia-de-datos
3,3,3,2,3,5,1,4,2,2,2,4,3,4,3,4,2,5,oficina,virtual,ciencia-de-datos
4,3,3,1,2,4,2,4,3,2,3,5,1,4,3,4,2,5,oficina,mixta,ciencia-de-datos
4,1,3,3,2,5,1,4,3,3,2,4,2,5,5,4,2,4,laboratorio,mixta,ciencia-de-datos
5,2,3,2,3,5,3,4,2,2,2,4,2,4,3,4,2,3,laboratorio,virtual,ciencia-de-datos
4,3,3,1,1,5,3,3,2,2,2,4,1,3,3,3,2,3,oficina,virtual,ciencia-de-datos
5,1,2,2,2,5,3,4,2,1,2,4,3,4,4,4,3,4,laboratorio,virtual,ciencia-de-datos
4,2,2,3,2,5,2,4,2,2,1,5,1,5,2,4,2,4,laboratorio,mixta,ciencia-de-datos
3,2,4,2,2,5,3,4,2,3,2,5,3,4,4,4,2,4,laboratorio,virtual,ciencia-de-datos
4,3,2,2,2,5,4,4,2,2,1,5,2,4,3,4,3,3,oficina,virtual,ciencia-de-datos
4,2,3,2,2,5,2,4,3,3,2,5,3,4,3,3,2,4,oficina,virtual,ciencia-de-datos
5,3,2,2,2,5,2,4,2,3,2,5,2,4,3,5,2,2,laboratorio,virtual,ciencia-de-datos
4,2,2,3,2,5,2,4,3,2,2,5,2,4,4,5,2,3,laboratorio,virtual,ciencia-de-datos
4,3,1,2,2,5,2,4,1,3,2,5,2,4,3,3,1,5,oficina,virtual,ciencia-de-datos
5,1,2,3,2,5,2,4,2,3,2,5,2,5,4,5,2,4,oficina,virtual,ciencia-de-datos
5,2,1,3,1,5,2,4,1,2,2,4,3,4,3,5,2,5,oficina,mixta,ciencia-de-datos
3,2,2,2,2,5,2,4,2,2,3,5,2,5,4,4,2,4,oficina,virtual,ciencia-de-datos
5,2,3,3,2,5,4,5,3,2,2,5,3,4,2,4,2,4,laboratorio,mixta,ciencia-de-datos
4,2,2,2,1,5,3,4,3,4,2,5,3,4,3,3,2,4,laboratorio,mixta,ciencia-de-datos
4,2,3,2,3,5,2,5,2,3,2,5,1,5,3,4,2,5,laboratorio,virtual,ciencia-de-datos
5,3,3,1,2,4,2,5,2,1,2,3,3,5,2,5,3,4,mixto,mixta,ciberseguridad
5,2,2,2,2,3,2,4,2,1,1,2,3,4,3,4,3,4,oficina,mixta,ciberseguridad
4,3,2,2,3,5,3,4,2,2,2,2,3,4,4,4,1,3,mixto,mixta,ciberseguridad
5,1,2,2,3,4,1,5,2,1,3,2,2,3,3,5,2,4,oficina,virtual,ciberseguridad
5,1,3,1,2,3,2,5,3,1,2,2,3,5,4,2,3,4,mixto,virtual,ciberseguridad
5,2,3,1,2,5,2,5,3,2,3,1,1,5,2,4,3,3,mixto,virtual,ciberseguridad
5,3,2,3,2,4,2,5,2,1,3,3,3,5,2,3,3,3,oficina,mixta,ciberseguridad
4,2,3,4,2,4,3,5,2,1,2,2,3,2,3,5,2,3,mixto,mixta,ciberseguridad
5,3,2,1,2,4,2,5,3,2,2,2,2,4,3,4,2,4,oficina,virtual,ciberseguridad
5,2,2,3,2,4,3,5,2,2,2,3,3,4,2,4,2,5,oficina,mixta,ciberseguridad
5,2,3,1,1,4,2,4,2,1,3,2,2,4,4,4,1,4,mixto,virtual,ciberseguridad
4,2,3,2,2,3,2,5,2,1,4,2,2,3,3,5,2,4,mixto,virtual,ciberseguridad
5,3,3,1,2,4,3,5,2,1,2,1,1,4,4,4,2,5,oficina,mixta,ciberseguridad
5,2,2,2,1,4,2,4,2,1,2,3,3,4,4,4,2,4,oficina,mixta,ciberseguridad
5,2,2,1,1,4,2,5,1,2,2,3,2,4,4,4,2,5,oficina,virtual,ciberseguridad
5,3,2,2,2,5,3,5,2,1,2,2,2,4,3,5,2,4,oficina,virtual,ciberseguridad
5,2,2,2,1,5,2,4,4,1,2,1,1,5,2,5,2,2,mixto,virtual,ciberseguridad
4,2,2,2,3,4,2,5,1,1,2,2,2,3,2,5,2,5,mixto,mixta,ciberseguridad
5,2,3,2,2,4,2,5,2,1,1,1,3,4,4,3,1,3,mixto,mixta,ciberseguridad
